tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,director,language,mood
tt15808044,tvSeries,Light the Night,Hua deng chu shang,0,2021,2022.0,50,"Crime,Drama,Mystery",7.4,1737,nm3028867,Hindi,"Gritty,Mysterious,Intense"
tt11173160,movie,Qismat 2,Qismat 2,0,2021,,155,"Drama,Romance",6.8,1887,nm6054966,Hindi,"Thought-Provoking,Emotional,Heartwarming"
tt13587032,tvSeries,"Yosi, the Regretful Spy","Iosi, el espía arrepentido",0,2022,2023.0,100,"Drama,History,Thriller",7.7,1666,nm0387976,Hindi,"Thought-Provoking,Emotional,Suspenseful"
tt5562058,tvMiniSeries,Time Traveling Bong,Time Traveling Bong,0,2016,2016.0,22,"Comedy,Sci-Fi",6.7,1912,nm3622659,Hindi,"Light-Hearted,Mind-Bending,Fun"
tt7976568,tvSeries,Happy Together,Happy Together,0,2018,2019.0,30,Comedy,6.0,2132,nm0009953,Hindi,"Light-Hearted,Fun"
tt13310936,movie,Thimmarusu: Assignment Vali,Thimmarusu: Assignment Vali,0,2021,,127,Drama,7.1,1800,nm9490928,Hindi,"Thought-Provoking,Emotional"
tt15341198,tvSeries,The Perfect Mother,Une mère parfaite,0,2021,2021.0,100,"Crime,Drama,Mystery",6.0,2126,nm0308592,Hindi,"Gritty,Mysterious,Intense"
tt15250706,tvSeries,Secrets of Playboy,Secrets of Playboy,0,2022,2023.0,43,Documentary,6.9,1844,nm1315333,Hindi,Educational
tt26885613,movie,Hamare Baarah,Hamare Baarah,0,2024,,148,Drama,7.2,1766,nm4639088,Hindi,"Thought-Provoking,Emotional"
tt12508898,tvSeries,Gameboys,Gameboys,0,2020,,100,"Comedy,Drama,Romance",8.3,1530,nm7613978,Hindi,"Fun,Romantic,Light-Hearted"
tt14240568,tvSeries,Kathmandu Connection,Kathmandu Connection,0,2021,,100,"Action,Crime,Thriller",5.8,2189,nm3237860,Hindi,"Gritty,Action-Packed,Suspenseful"
tt4673856,tvSeries,Murder in Successville,Murder in Successville,0,2015,2017.0,30,"Comedy,Crime,Mystery",7.7,1648,nm1681579,Hindi,"Gritty,Fun,Mysterious"
tt9482230,movie,Tommaso,Tommaso,0,2019,,115,Drama,6.3,2000,nm0001206,Hindi,"Thought-Provoking,Emotional"
tt8362736,movie,Make Up,Make Up,0,2019,,86,"Drama,Mystery,Thriller",5.8,2172,nm2819449,Hindi,"Mysterious,Suspenseful,Intense"
tt7548570,movie,Swathanthryam Ardharathriyil,Swathanthryam Ardharathriyil,0,2018,,138,"Action,Crime,Thriller",7.4,1694,nm7901853,Hindi,"Gritty,Action-Packed,Suspenseful"
tt8403570,tvSeries,Mortel,Mortel,0,2019,2021.0,40,"Drama,Fantasy,Horror",6.5,1927,nm1568704,Hindi,"Dark,Magical,Thought-Provoking"
tt9109794,movie,Kolaigaran,Kolaigaran,0,2019,,100,"Action,Crime,Drama",7.1,1762,nm3063751,Telugu,"Gritty,Action-Packed,Intense"
tt3166500,movie,Homesick,De nærmeste,0,2015,,106,Drama,5.5,2274,nm3205815,Hindi,"Thought-Provoking,Emotional"
